Proteome,TaxaID,Date,Longest,Source,Species Name,Normalising group,Vertebrate,Metazoan
CHLRE,3055,2011-03-11,16378,http://genome.jgi-psf.org/Chlre4,Chlamydomonas reinhardtii,NA,NA,NA
ARATH,3702,2011-03-11,26639,Quest For Orthologs:RELEASE 2011_02,Arabidopsis thaliana,NA,NA,NA
YEAST,4932,2011-03-11,5813,Quest For Orthologs:RELEASE 2011_02,Saccharomyces cerevisiae,NA,NA,NA
YARLI,4952,2011-03-11,6389,Quest For Orthologs:RELEASE 2011_02,Yarrowia lipolytica,NA,NA,NA
DEBHA,4959,2011-03-11,6242,UNIPROT,Debaryomyces hansenii,NA,NA,NA
NEUCR,5141,2011-03-11,7968,Quest For Orthologs:RELEASE 2011_02,Neurospora crassa,NA,NA,NA
CRYNE,5207,2011-03-11,6244,Quest For Orthologs:RELEASE 2011_02,Cryptococcus neoformans,NA,NA,NA
CANAL,5476,2011-03-11,6580,Quest For Orthologs:RELEASE 2011_02,Candida albicans,NA,NA,NA
CANGA,5478,2011-03-11,5192,UNIPROT,Candida glabrata,NA,NA,NA
GIBZE,5518,2011-03-11,13318,BroadInstitute,Gibberella zeae,NA,NA,NA
LEIMA,5664,2011-03-11,7993,Quest For Orthologs:RELEASE 2011_02,Leishmania major,NA,NA,NA
PLAFA,5833,2011-03-11,5047,Quest For Orthologs:RELEASE 2011_02,Plasmodium falciparum,NA,NA,NA
PARTE,5888,2011-03-11,39416,UNIPROT,Paramecium tetraurelia,NA,NA,NA
ENCCU,6035,2011-03-11,1909,UNIPROT,Encephalitozoon cuniculi,NA,NA,NA
CAEBR,6238,2011-03-11,18211,UNIPROT,Caenorhabditis briggsae,NA,NA,metazoan
CAEEL,6239,2011-03-11,19674,Quest For Orthologs:RELEASE 2011_02,Caenorhabditis elegans,NA,NA,metazoan
ANOGA,7165,2011-03-11,7186,Quest For Orthologs:RELEASE 2011_02,Anopheles gambiae,A,NA,metazoan
DROME,7227,2011-03-11,13239,Quest For Orthologs:RELEASE 2011_02,Drosophila melanogaster,A,NA,metazoan
APIME,7460,2011-03-11,9190,NCBI_ftp,Apis mellifera,A,NA,metazoan
CIOIN,7719,2011-03-11,14048,Quest For Orthologs:RELEASE 2011_02,Ciona intestinalis,A,NA,metazoan
DANRE,7955,2011-03-11,19220,Quest For Orthologs:RELEASE 2011_02,Danio rerio,A,vertebrates,metazoan
XENTR,8364,2011-03-11,17724,Quest For Orthologs:RELEASE 2011_02,Xenopus tropicalis,A,vertebrates,metazoan
CHICK,9031,2011-03-11,17151,Quest For Orthologs:RELEASE 2011_02,Gallus gallus,A,vertebrates,metazoan
MACMU,9544,2011-03-11,21836,Quest For Orthologs:RELEASE 2011_02,Macaca mulatta,A,vertebrates,metazoan
PANTR,9598,2011-03-11,19757,Quest For Orthologs:RELEASE 2011_02,Pan troglodytes,A,vertebrates,metazoan
HUMAN,9606,2011-03-11,20944,Quest For Orthologs:RELEASE 2011_02,Homo sapiens,A,vertebrates,metazoan
CANFA,9615,2011-03-11,19266,Quest For Orthologs:RELEASE 2011_02,Canis familiaris,A,vertebrates,metazoan
BOVIN,9913,2011-03-11,20679,Quest For Orthologs:RELEASE 2011_02,Bos taurus,A,vertebrates,metazoan
MOUSE,10090,2011-03-11,20846,Quest For Orthologs:RELEASE 2011_02,Mus musculus,A,vertebrates,metazoan
RAT,10116,2011-03-11,23272,Quest For Orthologs:RELEASE 2011_02,Rattus norvegicus,A,vertebrates,metazoan
MONDO,13616,2011-03-11,19416,Quest For Orthologs:RELEASE 2011_02,Monodelphis domestica,A,vertebrates,metazoan
KLULA,28985,2011-03-11,5071,UNIPROT,Kluyveromyces lactis,NA,NA,NA
TAKRU,31033,2011-03-11,18449,Quest For Orthologs:RELEASE 2011_02,Takifugu rubripes,A,vertebrates,metazoan
DICDI,44689,2011-03-11,6619,Quest For Orthologs:RELEASE 2011_02,Dictyostelium discoideum,NA,NA,NA
GUITH,55529,None,598,integr8,Guillardia theta,NA,NA,NA
PLAYO,73239,2011-03-11,7758,UNIPROT,Plasmodium yoelii yoelii,NA,NA,NA
TETNG,99883,2011-03-11,27822,UNIPROT,Tetraodon nigroviridis,A,vertebrates,metazoan
ASHGO,284811,2011-03-11,4752,UNIPROT,Ashbya gossypii ATCC 10895,NA,NA,NA
SCHPO,284812,2011-03-11,4907,Quest For Orthologs:RELEASE 2011_02,Schizosaccharomyces pombe (strain 972/ATCC 24843),NA,NA,NA
